;mean_fit_time;std_fit_time;param_ridge__alpha;params;mean_test_score;std_test_score;rank_test_score
2;0.022149276733398438;0.003228721498427564;0.3609003915013911;{'ridge__alpha': 0.3609003915013911};-4.666307618409008;0.28922427646280097;4
6;0.018013954162597656;0.0007934053769858547;0.4696687143345901;{'ridge__alpha': 0.4696687143345901};-4.665356151022671;0.2894457250331754;3
7;0.017659950256347656;0.0013829079834916805;14.589217678747614;{'ridge__alpha': 14.589217678747614};-4.614839211092069;0.29847769174831795;2
8;0.01980595588684082;0.004730433969421408;19.726897439620764;{'ridge__alpha': 19.726897439620764};-4.608515254023301;0.29957104952924235;1
